"Accession"	"Gene"	"Description"	"Class"	"Reference"
"VFG031856(gi:315441746)"	"espG1"	"hypothetical_protein_"	"ESX-1_(T7SS)(CVF298)_"	"Mycobacterium_gilvum_Spyr1"
"VFG022348(gi:118616923)"	"esxG"	"EsaT-6_like_protein_EsxG_"	"ESX-3_(T7SS)(CVF635)_"	"Mycobacterium_ulcerans_Agy99"
"VFG002413(gb|NP_286011)"	"ykgK/ecpR"	"regulator_protein_EcpR_"	"ECP_(VF0404)_"	"Escherichia_coli_O157:H7_str._EDL933"
"VFG007478(gb|NP_231765)"	"fliE"	"flagellar_hook-basal_body_protein_"	"Flagella_(VF0519)_"	"Vibrio_cholerae_O1_biovar_El_Tor_str._N16961"
"VFG013434(gi:33152291)"	"rfaE"	"ADP-heptose_synthase_"	"LOS_(CVF494)_"	"Haemophilus_ducreyi_35000HP"
"VFG025865(gi:206558538)"	"cheR"	"chemotaxis_protein_methyltransferase_"	"Flagella_(CVF643)_"	"Burkholderia_cenocepacia_J2315"
"VFG005069(gi:49482401)"	"cap8J"	"capsular_polysaccharide_synthesis_enzyme_"	"Capsule_(CVF110)_"	"Staphylococcus_aureus_subsp._aureus_MRSA252"
"VFG038143(gi:213155480)"	"galU"	"UTP-glucose-1-phosphate_uridylyltransferase_"	"Capsule_(CVF775)_"	"Acinetobacter_baumannii_AB0057"
"VFG007686(gi:15640943)"	"cpsF"	"UDP-N-acetyl-D-mannosamine_transferase_"	"Capsular_polysaccharide_(CVF282)_"	"Vibrio_cholerae_O1_biovar_El_Tor_str._N16961"
"VFG048767(gb|YP_005226617.1)"	"tssF"	"type_VI_secretion_system_baseplate_subunit_TssF_"	"T6SS_(VF0569)_"	"Klebsiella_pneumoniae_subsp._pneumoniae_HS11286"
"VFG014035(gi:26991667)"	"pilI"	"type_IV_pili_signal_transduction_protein_PilI_"	"Type_IV_pili_twitching_motility_related_proteins_(CVF519)_"	"Pseudomonas_putida_KT2440"
"VFG041096(gi:16763654)"	"clpV"	"chaperone_ATPase_"	"SCI_(Salmonella_centrisome_island)(SS176)_"	"Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._LT2"
"VFG009986(gi:118472695)"	"mce1E"	"virulence_factor_Mce_family_protein_"	"Mce1_(CVF336)_"	"Mycobacterium_smegmatis_str._MC2_155"
"VFG013988(gi:66043987)"	"pilR"	"Helix-turn-helix,_Fis-type_"	"Type_IV_pili_biosynthesis_(CVF518)_"	"Pseudomonas_syringae_pv._syringae_B728a"
"VFG048675"	"KPN_01326"	"putative_outer_membrane_protein_"	"T6SS-I_(CVF853)_"	"Klebsiella_pneumoniae_subsp._pneumoniae_MGH_78578"
"VFG043063(gi:16765314)"	"fliM"	"flagellar_motor_switch_protein_FliM_"	"peritrichous_flagella_(AI139)_"	"Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._LT2"
"VFG048445"	"KPHS_14450"	"iron-enterobactin_transporter_periplasmic_binding_protein_"	"Ent_siderophore_(CVF849)_"	"Klebsiella_pneumoniae_subsp._pneumoniae_HS11286"
"VFG005773(gb|NP_687684)"	"cylZ"	"3R-hydroxymyristoyl_ACP_dehydratase_CylZ_"	"Beta-hemolysin/cytolysin_(CVF171)_"	"Streptococcus_agalactiae_2603V/R"
"VFG040902(gi:21232531)"	"xpsO/pilD"	"type_IV_pre-pilin_leader_peptidase_"	"xps_(SS213)_"	"Xanthomonas_campestris_pv._campestris_str._ATCC_33913"
"VFG010221(gi:15610634)"	"mce4B"	"MCE-FAMILY_PROTEIN_MCE4B_"	"Mce4_(CVF339)_"	"Mycobacterium_tuberculosis_H37Rv"
"VFG010790(gi:54293118)"	"lvhB6"	"Legionella_vir_homologue_protein_"	"Lvh_(Legionella_vir_homologs"	"ND"
"VFG034394(gi:386612489)"	"ecpR"	"fimbrillin_protein_MatA_"	"E._coli_common_pilus_(ECP)(CVF625)_"	"Escherichia_coli_UMNK88"
"VFG016363(gi:30018740)"	"BC0552"	"Internalin_protein_"	"Hal_(CVF573)_"	"Bacillus_cereus_ATCC_14579"
"VFG038618(gb|YP_855202)"	"motX"	"sodium-type_flagellar_motor_component_"	"Polar_flagella_(CVF786)_"	"Aeromonas_hydrophila_subsp._hydrophila_ATCC_7966"
"VFG013101(gi:68248900)"	"pilB"	"putative_type_IV_pilin_secretion_protein_"	"type_IV_pili_(AI106)_"	"Haemophilus_influenzae_86-028NP"
"VFG004800(gi:49484261)"	"hld"	"delta-hemolysin_precursor_"	"Delta_hemolysin_(CVF088)_"	"Staphylococcus_aureus_subsp._aureus_MRSA252"
"VFG015644(gi:167034947)"	"flgB"	"flagellar_basal-body_rod_protein_FlgB_"	"Flagella_(CVF521)_"	"Pseudomonas_putida_GB-1"
"VFG007692(gi:28901265)"	"cpsH"	"hypothetical_protein_"	"Capsular_polysaccharide_(CVF282)_"	"Vibrio_parahaemolyticus_RIMD_2210633"
"VFG005171(gi:94993257)"	"sfbX"	"Fibronectin-binding_protein_"	"Fibronectin-binding_proteins_(CVF113)_"	"Streptococcus_pyogenes_MGAS2096"
"VFG044405(gi:34787215)"	"hasD"	"heme_acquisition_ABC_transporter,_ATP-binding/permease_protein_"	"HasA-type_hemophore-mediated_heme_uptake_system_(IA043)_"	"Serratia_marcescens_str._SM365"
"VFG038841(gi:145297258)"	"flmH"	"3-oxoacyl-ACP_reductase_"	"Polar_flagella_(CVF786)_"	"Aeromonas_salmonicida_subsp._salmonicida_A449"
"VFG007849(gi:15610070)"	"ppsC"	"PHENOLPTHIOCEROL_SYNTHESIS_TYPE-I_POLYKETIDE_SYNTHASE_PPSC_"	"PDIM_(phthiocerol_dimycocerosate"	"ND"
"VFG032518(gi:347549463)"	"bsh"	"putative_conjugated_bile_acid_hydrolase_"	"Bile-salt_hydrolase_(CVF250)_"	"Listeria_ivanovii_subsp._ivanovii_PAM_55"
"VFG010377(gi:118471359)"	"mce7F"	"mce-family_protein_mce1f_"	"Mce7_(CVF342)_"	"Mycobacterium_smegmatis_str._MC2_155"
"VFG013000(gi:110804576)"	"entF"	"Enterobactin_synthetase_component_F_"	"Enterobactin_synthesis_(CVF477)_"	"Shigella_flexneri_5_str._8401"
"VFG001316(gb|NP_645114)"	"geh"	"glycerol_ester_hydrolase_"	"Lipase_(VF0012)_"	"Staphylococcus_aureus_subsp._aureus_MW2"
"VFG029846(gi:118471131)"	"papA3"	"condensation_domain-containing_protein_"	"GPL_locus_(CVF650)_"	"Mycobacterium_smegmatis_str._MC2_155"
"VFG035774(gi:387605700)"	"aec18"	"putative_type_VI_secretion_system_protein_"	"ACE_T6SS_(CVF736)_"	"Escherichia_coli_O44:H18_042"
"VFG015906(gi:66045852)"	"sypC"	"Amino_acid_adenylation_"	"Phytotoxin_syringopeptin_(CVF547)_"	"Pseudomonas_syringae_pv._syringae_B728a"
"VFG000913(gb|NP_753157)"	"focF"	"F1C_minor_fimbrial_subunit_F_precursor_"	"F1C_fimbriae_(VF0224)_"	"Escherichia_coli_CFT073"
"VFG014338(gi:104782827)"	"fliS"	"Flagellin-specific_chaperone_FliS_"	"Flagella_(CVF521)_"	"Pseudomonas_entomophila_L48"
"VFG000142(gb|NP_253698)"	"waaC"	"3-deoxy-D-manno-octulosonic-acid_(KDO"	"ND"	"ND"
"VFG000916(gb|NP_756169)"	"chuS"	"heme_oxygenase_ChuS_"	"Chu_(VF0227)_"	"Escherichia_coli_CFT073"
"VFG021766(gi:194734825)"	"mig-14"	"Mig-14_"	"Mig-14_(CVF006)_"	"Salmonella_enterica_subsp._enterica_serovar_Schwarzengrund_str._CVM19633"
"VFG038141(gi:407930984)"	"M3Q_300"	"hypothetical_protein_"	"Capsule_(CVF775)_"	"Acinetobacter_baumannii_TYTH-1"
"VFG015738(gi:167035553)"	"alg8"	"glycosyl_transferase_Alg8_"	"Alginate_biosynthesis_(CVF522)_"	"Pseudomonas_putida_GB-1"
"VFG000186(gb|NP_250382)"	"pscT"	"type_III_secretion_system_protein_PscT_"	"TTSS_(VF0083)_"	"Pseudomonas_aeruginosa_PAO1"
"VFG038502(gi:145299468)"	"tapV"	"type_IV_pilus_assembly_protein_TapV_"	"Tap_pili_(AI103)_"	"Aeromonas_salmonicida_subsp._salmonicida_A449"
"VFG030825(gi:118471001)"	"icl2"	"isocitrate_lyase_"	"Trehalose-recycling_ABC_transporter_(CVF651)_"	"Mycobacterium_smegmatis_str._MC2_155"
"VFG010193(gi:145221246)"	"mce3F"	"virulence_factor_Mce_family_protein_"	"Mce3_(CVF338)_"	"Mycobacterium_gilvum_PYR-GCK"
"VFG005592(gi:50914128)"	"hylA"	"Hyaluronate_lyase_precursor_"	"Hyaluronidase_(CVF154)_"	"Streptococcus_pyogenes_MGAS10394"
"VFG044241(gi:123440718)"	"hemP"	"hemin_uptake_protein_"	"direct_heme_uptake_system_(IA059)_"	"Yersinia_enterocolitica_subsp._enterocolitica_8081(CVF864)_"
"VFG038882(gb|YP_001140303)"	"maf-5"	"modification_accessory_factor_"	"Lateral_flagella_(VF0474)_"	"Aeromonas_salmonicida_subsp._salmonicida_A449"
"VFG040971(gi:206576910)"	"pulO"	"pullulanase_secretion_protein_PulO_"	"pul_(SS215)_"	"Klebsiella_pneumoniae_342"
"VFG048724"	"KPN2242_09800"	"lipoprotein_"	"T6SS-I_(CVF853)_"	"Klebsiella_pneumoniae_KCTC_2242"
"VFG044227(gi:104781605)"	"bauD"	"ferric_siderophore_ABC_transporter_permease_"	"pseudomonine_(IA004)_"	"Pseudomonas_entomophila_L48"
"VFG000861(gb|YP_006098864)"	"pic"	"Pic_serine_protease_precursor,_autotransporter_"	"Pic_(VF0218)_"	"Escherichia_coli_O44:H18_042"
"VFG018405(gi:161617296)"	"sseK1"	"hypothetical_protein_"	"TTSS-2_translocated_effectors_(CVF035)_"	"Salmonella_enterica_subsp._enterica_serovar_Paratyphi_B_str._SPB7"
"VFG044153(gi:70732681)"	"hasD"	"ABC_transporter_ATP-binding_protein_"	"HasA-type_hemophore-mediated_heme_uptake_system_(IA042)_"	"Pseudomonas_fluorescens_Pf-5"
"VFG023633(gi:332161343)"	"fliE"	"flagellar_hook-basal_body_protein_FliE_"	"Flagella_(cluster_I)(CVF039)_"	"Yersinia_pestis_Z176003"
"VFG019979(gi:218888792)"	"exoT"	"exoenzyme_T_"	"P._aeruginosa_TTSS_translocated_effectors_(CVF531)_"	"Pseudomonas_aeruginosa_LESB58"
"VFG024026(gi:406030124)"	"mbtA"	"2,3-dihydroxybenzoate-AMP_ligase_"	"Mycobactin_(CVF315)_"	"Mycobacterium_indicus_pranii_MTCC_9506"
"VFG037442(gb|YP_001847247)"	"basA"	"acinetobactin_biosynthesis_protein_"	"Acinetobactin_(VF0467)_"	"Acinetobacter_baumannii_ACICU"
"VFG045662(gi:397700121)"	"EFD32_1546"	"serine_protease_"	"SprE_(CVF613)_"	"Enterococcus_faecalis_D32"
"VFG040964(gi:206579603)"	"pulH"	"pullulanase_secretion_protein_PulH_"	"pul_(SS215)_"	"Klebsiella_pneumoniae_342"
"VFG003502(gi:123442841)"	"ybtU"	"yersiniabactin_biosynthetic_protein_YbtU_"	"Yersiniabactin_(CVF051)_"	"Yersinia_enterocolitica_subsp._enterocolitica_8081"
"VFG042572(gi:62255471)"	"ldaD"	"LdaD_"	"locus_for_diffuse_adherence_(lda),_afimbrial_adhesin_(AI044)_"	"Escherichia_coli"
"VFG048661(gb|YP_005226600.1)"	"dotU/tssL"	"type_VI_secretion_system_protein,_DotU/TssL_family_"	"T6SS_(VF0569)_"	"Klebsiella_pneumoniae_subsp._pneumoniae_HS11286"
"VFG038649(gi:330828804)"	"fliK"	"putative_polar_flagellar_hook-length_control_protein_FliK_"	"Polar_flagella_(CVF786)_"	"Aeromonas_veronii_B565"
"VFG003532(gi:123443740)"	"ysaJ"	"type_III_secretion_system_apparatus_lipoprotein_"	"Ysa_T3SS_(SS018)_"	"Yersinia_enterocolitica_subsp._enterocolitica_8081"
"VFG046069"	"csgF"	"curli_production_assembly/transport_component_CsgF_"	"Curli_fibers_(CVF822)_"	"Escherichia_coli_VR50"
"VFG028084(gi:397680272)"	"eccE5"	"ESX-5_secretion_system_protein_EccE5_"	"ESX-5_(T7SS)(CVF293)_"	"Mycobacterium_abscessus_subsp._bolletii_str._GO_06"
"VFG038628(gi:145298346)"	"fliF"	"flagellar_MS-ring_protein_"	"Polar_flagella_(CVF786)_"	"Aeromonas_salmonicida_subsp._salmonicida_A449"
"VFG022146(gb|NP_214805)"	"mycP3"	"Type_VII_secretion_system_membrane-anchored_mycosin_MycP3_"	"ESX-3_(VF0521)_"	"Mycobacterium_tuberculosis_H37Rv"
"VFG044358(gi:307130381)"	"cbrD"	"ATP_binding_protein_from_the_ferric_achromobactin_permease_"	"achromobactin_(IA011)_"	"Dickeya_dadantii_3937"
"VFG004500(gi:57867844)"	"ebh"	"cell_wall_associated_fibronectin-binding_protein_"	"Cell_wall_associated_fibronectin_binding_protein_(CVF107)_"	"Staphylococcus_epidermidis_RP62A"
"VFG042679(gi:27525444)"	"fimA"	"major_fimbrial_subunit_"	"type_1_fimbriae_(AI083)_"	"Citrobacter_freundii_str._3009"
"VFG022808(gi:333989791)"	"narJ"	"nitrate_reductase_subunit_delta_"	"Nitrate_reductase_(CVF318)_"	"Mycobacterium_sp._JDM601"
"VFG042447(gb|AAA23662)"	"daaF"	"DaaF_protein_"	"F1845_fimbrial_adhesin_(AI016)_"	"Escherichia_coli_str._C1845"
"VFG016035(gi:71736481)"	"pvdD"	"pyoverdine_sidechain_peptide_synthetase_III,_L-Thr-L-Ser_component_"	"Pyoverdine_(CVF551)_"	"Pseudomonas_syringae_pv._phaseolicola_1448A"
"VFG002025(gb|NP_282282)"	"htrB"	"lipid_A_biosynthesis_lauroyl_acyltransferase_"	"LOS_(VF0326)_"	"Campylobacter_jejuni_subsp._jejuni_NCTC_11168"
"VFG014503(gi:66046676)"	"fliM"	"flagellar_motor_switch_protein_"	"Flagella_(CVF521)_"	"Pseudomonas_syringae_pv._syringae_B728a"
"VFG006082(gi:55821452)"	"rgpD"	"polysaccharide_ABC_exporter_ATP-binding_protein_"	"Capsule_(CVF186)_"	"Streptococcus_thermophilus_LMG_18311"
"VFG013974(gi:28870972)"	"fimV"	"hypothetical_protein_"	"Type_IV_pili_biosynthesis_(CVF518)_"	"Pseudomonas_syringae_pv._tomato_str._DC3000"
"VFG018328(gi:161613163)"	"stcC"	"hypothetical_protein_"	"Stc_(CVF021)_"	"Salmonella_enterica_subsp._enterica_serovar_Paratyphi_B_str._SPB7"
"VFG014233(gi:148546710)"	"flgH"	"flagellar_L-ring_protein_"	"Flagella_(CVF521)_"	"Pseudomonas_putida_F1"
"VFG022495(gi:169628636)"	"stf0"	"hypothetical_protein_"	"Sulfolipid-1_biosynthesis_and_transport_(CVF289)_"	"Mycobacterium_abscessus_ATCC_19977"
"VFG022786(gi:333990175)"	"irtA"	"transmembrane_ATP-binding_protein_ABC_transporter_"	"ABC_transporter_(CVF316)_"	"Mycobacterium_sp._JDM601"
"VFG004479(gi:70726912)"	"atl"	"autolysin_"	"Autolysin_(CVF109)_"	"Staphylococcus_haemolyticus_JCSC1435"
"VFG004867(gb|NP_646584)"	"lukD"	"leukotoxin_"	"leukocidin_(F_component:_LukD"	"_S_component:_lukE)(TX421)_;Staphylococcus_aureus_subsp._aureus_MW2"
"VFG041092(gi:16763650)"	"sciC"	"cytoplasmic_protein_"	"SCI_(Salmonella_centrisome_island)(SS176)_"	"Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._LT2"
"VFG046674"	"Fphi_1470"	"ATP-binding_cassette_(ABC"	"ND"	"ND"
"VFG049050"	"KPN_02485"	"O-antigen_export_-_NBD_component_"	"LPS_rfb_locus_(CVF857)_"	"Klebsiella_pneumoniae_subsp._pneumoniae_MGH_78578"
"VFG046740"	"F7308_1116"	"glycosyl_transferase_"	"Capsule_(CVF833)_"	"Francisella_sp._TX077308"
"VFG014958(gi:104783266)"	"mucD"	"serine_protease_MucD_"	"Alginate_regulation_(CVF523)_"	"Pseudomonas_entomophila_L48"
"VFG014602(gi:146282911)"	"flhA"	"flagellar_biosynthesis_protein_FlhA_"	"Flagella_(CVF521)_"	"Pseudomonas_stutzeri_A1501"
"VFG042959(gi:28199794)"	"pilB"	"pilus_biogenesis_protein_"	"type_IV_pili_(AI118)_"	"Xylella_fastidiosa_Temecula1"
"VFG042577(gi:62255476)"	"ldaI"	"LdaI_"	"locus_for_diffuse_adherence_(lda),_afimbrial_adhesin_(AI044)_"	"Escherichia_coli"
"VFG014041(gi:146284263)"	"pilI"	"twitching_motility_protein_PilI_"	"Type_IV_pili_twitching_motility_related_proteins_(CVF519)_"	"Pseudomonas_stutzeri_A1501"
"VFG024867(gi:170731899)"	"pilD"	"prepilin_peptidase_"	"Type_IV_pili_(CVF638)_"	"Burkholderia_cenocepacia_MC0-3"
"VFG000699(gb|AAP42191)"	"bexD"	"capsular_polysaccharide_export_protein_BexD_"	"Capsule_(VF0043)_"	"Haemophilus_influenzae_str._1007"
"VFG023628(gi:332161353)"	"fliD"	"flagellar_capping_protein_"	"Flagella_(cluster_I)(CVF039)_"	"Yersinia_enterocolitica_subsp._palearctica_105.5R(r)"
"VFG035369(gi:410481012)"	"aaiD"	"hypothetical_protein_"	"AAI/SCI-II_T6SS_(CVF735)_"	"Escherichia_coli_O104:H4_str._2009EL-2050"
"VFG019771(gi:218889155)"	"chpA"	"still_frameshift_putative_component_of_chemotactic_signal_transduction_system_"	"Type_IV_pili_twitching_motility_related_proteins_(CVF519)_"	"Pseudomonas_aeruginosa_LESB58"
"VFG013065(gb|YP_405017)"	"shuT"	"periplasmic_binding_protein_ShuT_"	"Shu_(VF0256)_"	"Shigella_dysenteriae_Sd197"
"VFG040227(gi:91205827)"	"rvhB9a"	"VirB9_"	"Rvh_T4SS_(CVF804)_"	"Rickettsia_bellii_RML369-C"
"VFG013252(gi:33152665)"	"msbA"	"ABC_transporter_ATP-binding_protein_MsbA_"	"LOS_(CVF494)_"	"Haemophilus_ducreyi_35000HP"
"VFG038076(gi:215485092)"	"ABBFA_003461"	"Tyrosine-protein_kinase_ptk_"	"Capsule_(CVF775)_"	"Acinetobacter_baumannii_AB307-0294"
"VFG037778(gi:126640503)"	"lpsB"	"glycosyltransferase_"	"LPS_(CVF774)_"	"Acinetobacter_baumannii_ATCC_17978"
"VFG023491(gi:333990539)"	"mycP5"	"proline_rich_membrane-anchored_mycosin_MycP5_"	"ESX-5_(T7SS)(CVF293)_"	"Mycobacterium_sp._JDM601"
"VFG001216(gb|NP_253240)"	"fimU"	"type_4_fimbrial_biogenesis_protein_FimU_"	"Type_IV_pili_(VF0082)_"	"Pseudomonas_aeruginosa_PAO1"
"VFG014985(gi:152989506)"	"algW"	"trypsin_domain_protein_"	"Alginate_regulation_(CVF523)_"	"Pseudomonas_aeruginosa_PA7"
"VFG014198(gi:146307869)"	"flgE"	"flagellar_basal_body_FlaE_domain_protein_"	"Flagella_(CVF521)_"	"Pseudomonas_mendocina_ymp"
"VFG014254(gi:116049014)"	"flgJ"	"flagellar_protein_FlgJ_"	"Flagella_(CVF521)_"	"Pseudomonas_aeruginosa_UCBPP-PA14"
"VFG015388(gi:28870056)"	"ppkA"	"ppkA-related_protein_"	"Hcp_secretion_island-1_encoded_type_VI_secretion_system_(H-T6SS)(CVF535)_"	"Pseudomonas_syringae_pv._tomato_str._DC3000"
"VFG002660(gi:16122080)"	"fliI"	"flagellum-specific_ATP_synthase_"	"Flagella_(cluster_I)(CVF039)_"	"Yersinia_pestis_CO92"
"VFG003926(gi:62180007)"	"ssaO"	"Secretion_system_apparatus_SsaO_"	"TTSS_(SPI-2_encode)(CVF032)_"	"Salmonella_enterica_subsp._enterica_serovar_Choleraesuis_str._SC-B67"
"VFG038018(gi:126640173)"	"A1S_0060"	"hypothetical_protein_"	"Capsule_(CVF775)_"	"Acinetobacter_baumannii_ATCC_17978"
"VFG024075(gi:406029533)"	"narG"	"nitrate_reductase_subunit_alpha_"	"Nitrate_reductase_(CVF318)_"	"Mycobacterium_indicus_pranii_MTCC_9506"
"VFG010203(gi:119867599)"	"mce3F"	"virulence_factor_Mce_family_protein_"	"Mce3_(CVF338)_"	"Mycobacterium_sp._KMS"
"VFG013851(gi:66043671)"	"pilN"	"Fimbrial_assembly_"	"Type_IV_pili_biosynthesis_(CVF518)_"	"Pseudomonas_syringae_pv._syringae_B728a"
"VFG048669"	"KOX_22515"	"OmpA/MotB_domain-containing_protein_"	"T6SS-I_(CVF853)_"	"Klebsiella_oxytoca_KCTC_1686"
"VFG030629(gi:118619614)"	"sugB"	"sugar-transport_integral_membrane_protein_ABC_transporter_SugB_"	"Trehalose-recycling_ABC_transporter_(CVF651)_"	"Mycobacterium_ulcerans_Agy99"
"VFG001324(gb|YP_001332081)"	"isdG"	"iron-regulated_surface_determinant_protein_G_"	"Isd_(VF0015)_"	"Staphylococcus_aureus_subsp._aureus_str._Newman"
"VFG014841(gi:77457180)"	"algL"	"poly(beta-D-mannuronate"	"ND"	"ND"
"VFG043040(gi:16765261)"	"tar/cheM"	"methyl_accepting_chemotaxis_protein_II_"	"peritrichous_flagella_(AI139)_"	"Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._LT2"
"VFG025930(gi:206558533)"	"motB"	"flagellar_motor_protein_MotB_"	"Flagella_(CVF643)_"	"Burkholderia_cenocepacia_J2315"
"VFG029893(gi:118465611)"	"mmpL10"	"MmpL10_protein_"	"GPL_locus_(CVF650)_"	"Mycobacterium_avium_104"
"VFG044284(gi:197284142)"	"pbtB"	"TonB-dependent_siderophore_receptor_"	"Proteobactin_(IA034)_"	"Proteus_mirabilis_HI4320"
"VFG015709(gi:170722842)"	"fliR"	"flagellar_biosynthetic_protein_FliR_"	"Flagella_(CVF521)_"	"Pseudomonas_putida_W619"
"VFG035918(gi:387610458)"	"aatB"	"ABC_transporter_protein_AatB_"	"ABC_transporter_for_dispersin_(CVF737)_"	"Escherichia_coli_O78:H11:K80_str._H10407"
"VFG037898(gi:126640165)"	"A1S_0052"	"WecC_protein_"	"Capsule_(CVF775)_"	"Acinetobacter_baumannii_ATCC_17978"
"VFG042694(gi:15597325)"	"cupA2"	"chaperone_CupA2_"	"CupA_fimbriae_(AI085)_"	"Pseudomonas_aeruginosa_PAO1"
"VFG022615(gi:333992531)"	"panC"	"pantoate-beta-alanine_ligase_PanC_"	"Pantothenate_synthesis_(CVF305)_"	"Mycobacterium_sp._JDM601"
"VFG015918(gi:70729945)"	"hcnA"	"hydrogen_cyanide_synthase_HcnA_"	"Hydrogen_cyanide_production_(CVF549)_"	"Pseudomonas_fluorescens_Pf-5"
"VFG013919(gi:152985444)"	"pilV"	"type_IV_pilus_modification_protein_PilV_"	"Type_IV_pili_biosynthesis_(CVF518)_"	"Pseudomonas_aeruginosa_PA7"
"VFG043120(gi:15802868)"	"flk"	"flagella_biosynthesis_regulator_"	"peritrichous_flagella_(AI140)_"	"Escherichia_coli_O157:H7_str._EDL933"
"VFG017858(gi:153930648)"	"YpsIP31758_B0096"	"hypothetical_protein_"	"icm/dot_type_IVB_locus_(CVF621)_"	"Yersinia_pseudotuberculosis_IP_31758"
"VFG024493(gi:406033406)"	"eccB2"	"hypothetical_protein_"	"ESX-2_(T7SS)(CVF634)_"	"Mycobacterium_indicus_pranii_MTCC_9506"
"VFG002691(gi:16123272)"	"wbyL"	"probable_glycosyltransferase_"	"O-antigen_(CVF043)_"	"Yersinia_pestis_CO92"
"VFG037434(gi:469822560)"	"basB"	"non-ribosomal_peptide_synthase_"	"Acinetobactin_(CVF768)_"	"Acinetobacter_baumannii_D1279779"
"VFG041013(gi:15596709)"	"hcp2"	"secreted_protein_Hcp_"	"HSI-2_(SS179)_"	"Pseudomonas_aeruginosa_PAO1"
"VFG038251(gi:169797496)"	"pbpG"	"D-alanyl-D-alanine_endopeptidase_"	"PbpG_(CVF779)_"	"Acinetobacter_baumannii_AYE"
"VFG011233(gi:33592168)"	"fliA"	"RNA_polymerase_sigma_factor_for_flagellar_operon_"	"Flagella_(CVF382)_"	"Bordetella_pertussis_Tohama_I"
"VFG019854(gi:229591839)"	"fliQ"	"flagellar_biosynthetic_protein_FliQ_"	"Flagella_(CVF521)_"	"Pseudomonas_fluorescens_SBW25"
"VFG000361(gb|NP_405470)"	"ybtU"	"yersiniabactin_biosynthetic_protein_YbtU_"	"Yersiniabactin_(VF0136)_"	"Yersinia_pestis_CO92"
"VFG038733(gi:330829152)"	"flaA"	"flagellin-like_protein_"	"Polar_flagella_(CVF786)_"	"Aeromonas_veronii_B565"
"VFG031611(gi:333990406)"	"sigL"	"RNA_polymerase_sigma_factor_(RpoE"	"ND"	"ND"
"VFG033585(gi:260869692)"	"sepD"	"secretion_switching_protein_SepD_"	"LEE_locus_encoded_TTSS_(CVF431)_"	"Escherichia_coli_O111:H-_str._11128"
"VFG016172(gi:66045826)"	"cbrA"	"Periplasmic_binding_protein_"	"achromobactin_(IA003)_"	"Pseudomonas_syringae_pv._syringae_B728a"
"VFG030107(gi:57117079)"	"kefB"	"Probable_conserved_integral_membrane_transport_protein_"	"Potassium/proton_antiporter_(CVF647)_"	"Mycobacterium_tuberculosis_H37Rv"
"VFG015798(gi:170721679)"	"hcp1"	"type_VI_secretion_system_effector,_Hcp1_family_"	"Hcp_secretion_island-1_encoded_type_VI_secretion_system_(H-T6SS)(CVF535)_"	"Pseudomonas_putida_W619"
"VFG042760(gi:156121665)"	"lngB"	"LngB_"	"Longus_pili_(CS20)(AI099)_"	"Escherichia_coli_O8:H9_str._E9034A"
"VFG036090(gi:387604906)"	"aggR"	"transcriptional_activator_"	"AggR_(CVF756)_"	"Escherichia_coli_O44:H18_042"
"VFG004469(gi:87160118)"	"cap5A"	"capsular_polysaccharide_biosynthesis_protein_Cap5A_"	"Capsule_(CVF110)_"	"Staphylococcus_aureus_subsp._aureus_USA300_FPR3757"
"VFG043391(gb|NP_208374)"	"pdxA"	"4-hydroxythreonine-4-phosphate_dehydrogenase_"	"Pse5Ac7Ac_(AI150)_"	"Helicobacter_pylori_26695"
"VFG035953(gi:410480308)"	"upaG/ehaG"	"adhesin_"	"UpaG_adhesin,_trimeric_AT_(CVF740)_"	"Escherichia_coli_O104:H4_str._2009EL-2050"
"VFG024693(gi:333990858)"	"tesA"	"thioesterase_"	"PDIM_(phthiocerol_dimycocerosate"	"ND"
"VFG025914(gi:83719847)"	"cheA"	"chemotaxis_protein_CheA_"	"Flagella_(CVF643)_"	"Burkholderia_thailandensis_E264"
"VFG012110(gi:148379874)"	"fbp"	"fibronectin-binding_protein_"	"Fibronectin-binding_protein_(CVF404)_"	"Clostridium_botulinum_A_str._ATCC_3502"
"VFG049221"	"KPN2242_14315"	"type_VI_secretion_system_protein_ImpK_"	"T6SS-III_(CVF862)_"	"Klebsiella_pneumoniae_KCTC_2242"
"VFG044322(gb|YP_002919453)"	"iroE"	"siderophore_esterase_IroE_"	"Sal_(VF0563)_"	"Klebsiella_pneumoniae_subsp._pneumoniae_NTUH-K2044"
"VFG015089(gi:70730924)"	"gacA"	"response_regulator_GacA_"	"GacS/GacA_two-component_system_(CVF529)_"	"Pseudomonas_fluorescens_Pf-5"
"VFG017882(gi:153930748)"	"YpsIP31758_B0120"	"hypothetical_protein_"	"icm/dot_type_IVB_locus_(CVF621)_"	"Yersinia_pseudotuberculosis_IP_31758"
"VFG033103(gi:218706492)"	"papE"	"Fimbrial_protein_"	"P_fimbriae_(CVF425)_"	"Escherichia_coli_O17:K52:H18_str._UMN026"
"VFG031035(gi:15607339)"	"zmp1"	"Probable_zinc_metalloprotease_Zmp1_"	"Zn++_metallophrotease_(CVF655)_"	"Mycobacterium_tuberculosis_H37Rv"
